Card Type,City,Country,Customer ID,Customer Name,Date,Date (Week numbers),District,dynamic graph,Highlight,Merchant Catergory,Merchant ID,Merchant Name,Merchant Sub Category,Payment Mode,Payment Status,Payment Status - Failure ,Pin Code,Product,Select Chart,State,Week,ATS,Charge,commission,Failure%,Size,Success%,Tran,Transaction Amount,Transaction Count
Visa,Delhi,India,U-278,Bimb Bais,27-01-2023,Week 4,Delhi,Show Transaction Details,No Highlight,Clothing Stores,733882,Glamour Gals,Women’s Accessory and Specialty Stores,Debit Card,Success,FALSE,110066,PoS,Week,Delhi,4,3110,2,124.4,0,1,1,6.22,6220,2
Not Applicable,Ahemdabad,India,U-279,Motilal Taneja,24-01-2023,Week 4,Ahemdabad,Show Transaction Details,No Highlight,Agricultural Services,721540,Four Paws Hospital,Veterinary Services,NetBanking,Success,FALSE,215609,Online,Week,Gujarat,4,1418.5,2,113.48,0,1,1,5.674,5674,4
Not Applicable,Faridabad,India,U-280,Kaaviyan Tailor,23-01-2023,Week 4,Faridabad,Show Transaction Details,No Highlight,Retail Outlet Services,710761,BuildSmart Supplies,Construction Materials Not Elsewhere Classified,Wallet,Success,FALSE,121001,QR,Week,Haryana,4,1886,2,113.16,0,1,1,5.658,5658,3
Not Applicable,Delhi,India,U-281,Chiko Swaminathan,21-01-2023,Week 3,Delhi,Show Transaction Details,No Highlight,Retail Outlet Services,787514,Ace Hardware Emporium,Hardware Equipment and Supplies,NetBanking,Success,FALSE,110006,Online,Week,Delhi,3,1939,2,155.12,0,1,1,7.756,7756,4
Not Applicable,Mysore,India,U-282,Agamjeet Sutariya,16-01-2023,Week 3,Mysore,Show Transaction Details,No Highlight,Agricultural Services,789789,Lawn & Garden Landscaping,Horticultural and Landscaping Services,Wallet,Failure,TRUE,560987,QR,Week,Karnataka,3,4608,2,92.16,1,1,0,4.608,4608,1
Not Applicable,Delhi,India,U-283,Manjeet Raman,11-01-2023,Week 2,Delhi,Show Transaction Details,No Highlight,Retail Outlet Services,757606,PipeWorks Co.,Plumbing and Heating Equipment,NetBanking,Initiated,FALSE,110063,Online,Week,Delhi,2,2538.5,2,101.54,0,1,0,5.077,5077,2
Not Applicable,Chennai,India,U-284,Aaslunan Jaggi,09-01-2023,Week 2,Chennai,Show Transaction Details,No Highlight,Miscellaneous Stores,740136,Culinary Concepts Catering,Caterers,UPI,Success,FALSE,769801,Online,Week,Tamil Nadu,2,2108.5,2,84.34,0,1,1,4.217,4217,2
Not Applicable,Coorg,India,U-285,Anashin Surabhi,06-01-2023,Week 1,Coorg,Show Transaction Details,Highlight,Contracted Services,740260,Quality Woodcrafts,Carpentry Contractors,EMI,Success,FALSE,561235,Online,Week,Karnataka,1,1636,3,196.32,0,100,1,6.544,6544,4
Not Applicable,Silchar,India,U-286,Puran Sunder,15-04-2023,Week 15,Silchar,Show Transaction Details,No Highlight,Contracted Services,700001,NS Services,"Sanitation, Polishing and Specialty Cleaning Preparations",UPI,Success,FALSE,336789,QR,Week,Assam,15,1784,2,71.36,0,1,1,3.568,3568,2
Not Applicable,Delhi,India,U-287,Kuvethan Sundaram,23-04-2023,Week 17,Delhi,Show Transaction Details,No Highlight,Contracted Services,700001,NS Services,"Air Conditioning, Heating and Plumbing Contractors",NetBanking,Success,FALSE,110065,Online,Week,Delhi,17,1067,2,64.02,0,1,1,3.201,3201,3
Visa,Ahemdabad,India,U-288,Annanjey Sundar,26-04-2023,Week 17,Ahemdabad,Show Transaction Details,No Highlight,Miscellaneous Stores,733221,Tasty Treats Catering Co.,Caterers,Debit Card,Success,FALSE,215609,Online,Week,Gujarat,17,1628.5,2,130.28,0,1,1,6.514,6514,4
Not Applicable,Delhi,India,U-289,Akash Sule,14-04-2023,Week 15,Delhi,Show Transaction Details,Highlight,Contracted Services,764884,Plumbing Wizards Inc.,"Air Conditioning, Heating and Plumbing Contractors",EMI,Success,FALSE,110004,Online,Week,Delhi,15,2001.666667,3,180.15,0,100,1,6.005,6005,3
Not Applicable,Chandigarh,India,U-290,Jagavaran Baghel,06-04-2023,Week 14,Chandigarh,Show Transaction Details,No Highlight,Contracted Services,764884,Plumbing Wizards Inc.,"Air Conditioning, Heating and Plumbing Contractors",NetBanking,Success,FALSE,459870,Online,Week,Chandigarh,14,1657.5,2,132.6,0,1,1,6.63,6630,4
Not Applicable,Agra,India,U-291,Dipankar Gandhi,03-04-2023,Week 14,Agra,Show Transaction Details,No Highlight,Government Services,763476,PurchasePilot Inc.,I-Purchasing Pilot,NetBanking,Partially Refunded,FALSE,348062,Online,Week,Uttar Pradesh,14,3388.5,2,135.54,0,1,0,6.777,6777,2
Not Applicable,Delhi,India,U-292,Dursanth Meda,30-03-2023,Week 13,Delhi,Show Transaction Details,No Highlight,Retail Outlet Services,787514,Ace Hardware Emporium,Hardware Equipment and Supplies,NetBanking,Success,FALSE,110006,Online,Week,Delhi,13,2345.333333,2,140.72,0,1,1,7.036,7036,3
Not Applicable,Delhi,India,U-293,Vimla Srivastava,29-03-2023,Week 13,Delhi,Show Transaction Details,No Highlight,Transportation Services,796541,Harbor Hopper Rentals,Boat Leases and Boat Rentals,Wallet,Success,FALSE,110006,QR,Week,Delhi,13,2775,2,55.5,0,1,1,2.775,2775,1
Not Applicable,Chandigarh,India,U-294,Dinanth Srivastav,07-03-2023,Week 10,Chandigarh,Show Transaction Details,Highlight,Clothing Stores,733882,Glamour Gals,Women’s Accessory and Specialty Stores,EMI,Success,FALSE,459870,Online,Week,Chandigarh,10,255.25,3,30.63,0,100,1,1.021,1021,4
Visa,Lucknow,India,U-295,Chenthooran Srinivas,27-02-2023,Week 9,Lucknow,Show Transaction Details,No Highlight,Agricultural Services,776350,Animal Wellness Center,Veterinary Services,Debit Card,Success,FALSE,120936,Pos,Week,Uttar Pradesh,9,1327,2,106.16,0,1,1,5.308,5308,4
Not Applicable,Nellore,India,U-296,Krisiv Sarawagi,24-02-2023,Week 8,Nellore,Show Transaction Details,No Highlight,Contracted Services,710794,Polishing Pros,"Sanitation, Polishing and Specialty Cleaning Preparations",Wallet,Success,FALSE,789043,QR,Week,Andhra Pradesh,8,2390.5,2,95.62,0,1,1,4.781,4781,2
Not Applicable,Chennai,India,U-297,Jathurssen Rajendra,18-02-2023,Week 7,Chennai,Show Transaction Details,No Highlight,Agricultural Services,737016,Harvesters Alliance,Agricultural Cooperatives,UPI,Success,FALSE,769801,Online,Week,Tamil Nadu,7,1506.5,2,60.26,0,1,1,3.013,3013,2
Not Applicable,Gurgaon,India,U-298,Rajni Shah,17-02-2023,Week 7,Gurugram,Show Transaction Details,No Highlight,Contracted Services,734853,Woodworks Unlimited,Carpentry Contractors,NetBanking,Success,FALSE,658633,Online,Week,Haryana,7,2093.333333,2,125.6,0,1,1,6.28,6280,3
Not Applicable,Agra,India,U-299,Sampat Sonkar,16-02-2023,Week 7,Agra,Show Transaction Details,No Highlight,Contracted Services,795070,Voltage Valley Electrical,Electrical Contractors,UPI,Success,FALSE,348062,Online,Week,Uttar Pradesh,7,1075,2,43,0,1,1,2.15,2150,2
Not Applicable,Delhi,India,U-300,Dwijendra Sondhi,09-02-2023,Week 6,Delhi,Show Transaction Details,No Highlight,Clothing Stores,777309,Trendy Trinkets,Women’s Accessory and Specialty Stores,NetBanking,Success,FALSE,110006,Online,Week,Delhi,6,2625.5,2,105.02,0,1,1,5.251,5251,2
Not Applicable,Chandigarh,India,U-301,Kevish Shaji,03-02-2023,Week 5,Chandigarh,Show Transaction Details,No Highlight,Miscellaneous Stores,733221,Tasty Treats Catering Co.,Caterers,NetBanking,Refunded,FALSE,459873,Online,Week,Chandigarh,5,2452,2,49.04,0,1,0,2.452,2452,1
Not Applicable,Nalanda,India,U-302,Kamleshas Solanki,30-01-2023,Week 5,Nalanda,Show Transaction Details,Highlight,Miscellaneous Stores,765657,Savoury Foods,Eating Places and Restaurants,EMI,Success,FALSE,148790,Online,Week,Bihar,5,5809,3,174.27,0,100,1,5.809,5809,1
Visa,Indore,India,U-303,Aiyshan Anam,27-01-2023,Week 4,Indore,Show Transaction Details,No Highlight,Clothing Stores,733882,Glamour Gals,Women’s Accessory and Specialty Stores,Debit Card,Success,FALSE,234987,PoS,Week,Madhya Pradesh,4,5123,2,102.46,0,1,1,5.123,5123,1
Not Applicable,Chandigarh,India,U-304,Athyajat Kale,24-01-2023,Week 4,Chandigarh,Show Transaction Details,Highlight,Agricultural Services,721540,Four Paws Hospital,Veterinary Services,EMI,Failure,TRUE,459872,Online,Week,Chandigarh,4,1623,3,48.69,1,100,0,1.623,1623,1
Master,Bangalore,India,U-305,Bibek Sirohi,12-01-2023,Week 2,Bangalore,Show Transaction Details,No Highlight,Contracted Services,719158,Publishing Partners,Miscellaneous Publishing and Printing,Debit Card,Success,FALSE,560035,Online,Week,Karnataka,2,4366,2,87.32,0,1,1,4.366,4366,1
Visa,Lucknow,India,U-306,Dhridh Tara,11-01-2023,Week 2,Lucknow,Show Transaction Details,No Highlight,Retail Outlet Services,757606,PipeWorks Co.,Plumbing and Heating Equipment,Debit Card,Success,FALSE,120936,Pos,Week,Uttar Pradesh,2,694.3333333,2,41.66,0,1,1,2.083,2083,3
Not Applicable,Mathura,India,U-307,Jeevaraj Mand,11-01-2023,Week 2,Mathura,Show Transaction Details,No Highlight,Agricultural Services,709759,Green Earth Landscaping,Horticultural and Landscaping Services,NetBanking,Success,FALSE,179034,Online,Week,Uttar Pradesh,2,5471,2,109.42,0,1,1,5.471,5471,1
Not Applicable,Surat,India,U-308,Gangol Attraa,05-01-2023,Week 1,Surat,Show Transaction Details,No Highlight,Contracted Services,753114,Circuit City Electrical,Electrical Contractors,NetBanking,Success,FALSE,214567,Online,Week,Gujarat,1,692.5,2,55.4,0,1,1,2.77,2770,4
Visa,Bangalore,India,U-309,Karitharan Sinha,02-01-2023,Week 1,Bangalore,Show Transaction Details,No Highlight,Contracted Services,700001,NS Services,"Air Conditioning, Heating and Plumbing Contractors",Credit Card,Success,FALSE,560035,Online,Week,Karnataka,1,1493.666667,2,89.62,0,1,1,4.481,4481,3
Not Applicable,Silchar,India,U-310,Pallavi Thawani,22-03-2023,Week 12,Silchar,Show Transaction Details,No Highlight,Contracted Services,700001,NS Services,"Air Conditioning, Heating and Plumbing Contractors",NetBanking,Success,FALSE,336789,Online,Week,Assam,12,3883.5,2,155.34,0,1,1,7.767,7767,2
Master,Nellore,India,U-311,Kamaladharival Singhal,18-03-2023,Week 11,Nellore,Show Transaction Details,No Highlight,Contracted Services,700001,NS Services,"Air Conditioning, Heating and Plumbing Contractors",Credit Card,Success,FALSE,789043,Online,Week,Andhra Pradesh,11,1032.75,2,82.62,0,1,1,4.131,4131,4
Master,Delhi,India,U-312,Balasayanthan Singh,17-03-2023,Week 11,Delhi,Show Transaction Details,No Highlight,Contracted Services,700001,NS Services,"Air Conditioning, Heating and Plumbing Contractors",Debit Card,Success,FALSE,110063,Online,Week,Delhi,11,1926.25,2,154.1,0,1,1,7.705,7705,4
Not Applicable,Coorg,India,U-313,Kaivalya Nagarajan,29-03-2023,Week 13,Coorg,Show Transaction Details,No Highlight,Contracted Services,700001,NS Services,"Sanitation, Polishing and Specialty Cleaning Preparations",Wallet,Success,FALSE,561235,Online,Week,Karnataka,13,990,2,39.6,0,1,1,1.98,1980,2
Not Applicable,Vijaywada,India,U-314,Hema Nadig,22-02-2023,Week 8,Vijaywada,Show Transaction Details,No Highlight,Contracted Services,700001,NS Services,"Sanitation, Polishing and Specialty Cleaning Preparations",Wallet,Success,FALSE,785412,Online,Week,Andhra Pradesh,8,7239,2,144.78,0,1,1,7.239,7239,1
Visa,Indore,India,U-315,Atheethan Siddiqui,10-02-2023,Week 6,Indore,Show Transaction Details,No Highlight,Contracted Services,700001,NS Services,"Air Conditioning, Heating and Plumbing Contractors",Debit Card,Success,FALSE,456987,Online,Week,Madhya Pradesh,6,1157.333333,2,69.44,0,1,1,3.472,3472,3
Not Applicable,Chandigarh,India,U-316,Kaneestan Roshan,05-02-2023,Week 6,Chandigarh,Show Transaction Details,Highlight,Contracted Services,700001,NS Services,"Air Conditioning, Heating and Plumbing Contractors",EMI,Failure,TRUE,459872,Online,Week,Chandigarh,6,747.3333333,3,67.26,1,100,0,2.242,2242,3
Not Applicable,Mysore,India,U-317,Ananda Rathod,01-04-2023,Week 13,Mysore,Show Transaction Details,No Highlight,Contracted Services,700001,NS Services,"Sanitation, Polishing and Specialty Cleaning Preparations",Wallet,Failure,TRUE,560987,QR,Week,Karnataka,13,1240,2,24.8,1,1,0,1.24,1240,1
Master,Chandigarh,India,U-318,Aiyappan Shroff,21-04-2023,Week 16,Chandigarh,Show Transaction Details,No Highlight,Contracted Services,700001,NS Services,"Air Conditioning, Heating and Plumbing Contractors",Debit Card,Success,FALSE,459874,Online,Week,Chandigarh,16,2262.5,2,90.5,0,1,1,4.525,4525,2
Master,Coimbatore,India,U-319,Kasvin Thaker,14-04-2023,Week 15,Coimbatore,Show Transaction Details,No Highlight,Contracted Services,700001,NS Services,"Air Conditioning, Heating and Plumbing Contractors",Debit Card,Success,FALSE,765412,Online,Week,Tamil Nadu,15,1338,2,80.28,0,1,1,4.014,4014,3
Not Applicable,Gandhinagar,India,U-320,Avanthiran Sharaf,05-04-2023,Week 14,Gandhinagar,Show Transaction Details,Highlight,Contracted Services,700001,NS Services,"Air Conditioning, Heating and Plumbing Contractors",EMI,Success,FALSE,213478,Online,Week,Gujarat,14,2181.666667,3,196.35,0,100,1,6.545,6545,3
Not Applicable,Nellore,India,U-321,Arthin Vaish,30-04-2023,Week 18,Nellore,Show Transaction Details,No Highlight,Retail Outlet Services,775575,Wrench Warehouse,Hardware Equipment and Supplies,Wallet,Failure,TRUE,789043,Online,Week,Andhra Pradesh,18,1274,2,50.96,1,1,0,2.548,2548,2
Not Applicable,Nellore,India,U-322,Kovendhan Borra,29-04-2023,Week 17,Nellore,Show Transaction Details,No Highlight,Utility Services,711203,BlueSky Communications,"Cable, Satellite, and Other Pay Television and Radio Services",Wallet,Failure,TRUE,789043,Online,Week,Andhra Pradesh,17,1221.5,2,48.86,1,1,0,2.443,2443,2
Visa,Delhi,India,U-323,Akshay Kumar Jaitley,23-04-2023,Week 17,Delhi,Show Transaction Details,No Highlight,Miscellaneous Stores,733221,Tasty Treats Catering Co.,Caterers,Credit Card,Success,FALSE,110063,PoS,Week,Delhi,17,2268,2,90.72,0,1,1,4.536,4536,2
